Date,Price,Open,High,Low,Vol.,Change %
11/22/2022,111.44,109.86,111.62,108.32,29.03M,1.44%
11/23/2022,112.24,111.72,112.67,110.73,21.34M,0.72%
11/25/2022,111.41,111.3,112.73,111.02,12.01M,-0.74%
11/28/2022,108.78,110.78,112.04,108.38,23.33M,-2.36%
11/29/2022,109.46,109.54,110.94,108.54,23.90M,0.63%
11/30/2022,118.1,109.5,118.16,109.38,43.35M,7.89%
12/1/2022,120.44,119.2,121.2,118.4,36.55M,1.98%
12/2/2022,123.49,117.83,124.04,117.61,39.95M,2.53%
12/5/2022,122.43,121.75,124.67,121.35,35.47M,-0.86%
12/6/2022,114.12,119.91,120.55,113.74,43.69M,-6.79%
12/7/2022,113.93,113.76,115.88,112.88,29.46M,-0.17%
12/8/2022,115.33,116.39,117.34,114.59,30.62M,1.23%
12/9/2022,115.9,115.3,117.54,113.87,26.03M,0.49%
12/12/2022,114.71,115.18,115.72,113.14,24.75M,-1.03%
12/13/2022,120.15,122.13,123.3,118.64,44.70M,4.74%
12/14/2022,121.59,119.39,124.14,119.39,36.92M,1.20%
12/15/2022,116.15,118.33,118.63,114.01,34.53M,-4.47%
12/16/2022,119.43,120.23,123.31,118.82,67.06M,2.82%
12/19/2022,114.48,116.83,117.8,114.33,29.77M,-4.14%
12/20/2022,117.09,113.26,117.33,112.46,28.74M,2.28%
12/21/2022,119.76,116.7,120.34,115.62,20.39M,2.28%
12/22/2022,117.12,117.2,118.62,114.38,23.62M,-2.20%
12/23/2022,118.04,116.03,118.18,115.54,17.80M,0.79%
12/27/2022,116.88,117.93,118.6,116.05,21.39M,-0.98%
12/28/2022,115.62,116.25,118.15,115.51,19.61M,-1.08%
12/29/2022,120.26,116.4,121.03,115.77,22.37M,4.01%
12/30/2022,120.34,118.16,120.42,117.74,19.58M,0.07%
1/3/2023,124.74,122.82,126.37,122.28,35.53M,3.66%
1/4/2023,127.37,127.38,129.05,125.85,32.40M,2.11%
1/5/2023,126.94,126.13,128.52,124.54,25.45M,-0.34%
1/6/2023,130.02,128.97,130.33,126.04,27.58M,2.43%
1/9/2023,129.47,131.16,132.95,129.28,26.65M,-0.42%
1/10/2023,132.99,127.27,133.44,127.15,28.68M,2.72%
1/11/2023,132.89,130.96,133.85,130.34,25.42M,-0.08%
1/12/2023,136.71,133.44,137.68,131.76,30.76M,2.87%
1/13/2023,136.98,134.97,137.39,134.84,22.42M,0.20%
1/17/2023,135.36,136.18,136.75,134.25,21.15M,-1.18%
1/18/2023,133.02,135.81,137.25,132.8,20.22M,-1.73%
1/19/2023,136.15,132.49,137.45,132.14,28.63M,2.35%
1/20/2023,139.37,135.89,139.94,134.61,28.69M,2.37%
1/23/2023,143.27,139.29,143.76,138.66,27.47M,2.80%
1/24/2023,143.14,141.69,145,141.36,21.97M,-0.09%
1/25/2023,141.5,141.22,143.17,140.31,26.62M,-1.15%
1/26/2023,147.3,144.4,147.51,143.3,25.48M,4.10%
1/27/2023,151.74,148.24,153.19,147.39,35.77M,3.01%
1/30/2023,147.06,149.4,151.12,146.95,28.04M,-3.08%
1/31/2023,148.97,147.95,149.88,147.52,29.84M,1.30%
2/1/2023,153.12,148.03,153.58,147.06,55.66M,2.79%
2/2/2023,188.77,183.38,197.16,180.16,150.48M,23.28%
2/3/2023,186.53,183.46,196.77,182.89,76.81M,-1.19%
2/6/2023,186.06,186.53,190.7,185.52,42.48M,-0.25%
2/7/2023,191.62,185.57,193.78,184.4,47.08M,2.99%
2/8/2023,183.43,190,190.83,182.92,36.14M,-4.27%
2/9/2023,177.92,186.13,186.65,177.27,37.12M,-3.00%
2/10/2023,174.15,176.35,178.89,173.35,33.43M,-2.12%
2/13/2023,179.43,178.21,181,175.82,31.46M,3.03%
2/14/2023,179.48,177.16,181.51,175.88,24.03M,0.03%
2/15/2023,177.16,176.41,178.19,175.33,25.34M,-1.29%
2/16/2023,172.44,172.75,175.85,171.79,25.83M,-2.66%
2/17/2023,172.88,170.22,173.18,169.7,24.17M,0.26%
2/21/2023,172.08,174.31,178.17,171.88,34.59M,-0.46%
2/22/2023,171.12,171.07,172.76,169.69,22.43M,-0.56%
2/23/2023,172.04,172,173.69,169.38,20.02M,0.54%
2/24/2023,170.39,168.64,170.72,167.66,19.79M,-0.96%
2/27/2023,169.54,171.88,173.12,169.06,19.28M,-0.50%
2/28/2023,174.94,171.9,177.55,171.87,46.05M,3.19%
3/1/2023,173.42,174.59,177.85,173.05,31.00M,-0.87%
3/2/2023,174.53,172.38,175.01,171.43,17.36M,0.64%
3/3/2023,185.25,178.92,186.62,177.05,45.88M,6.14%
3/6/2023,184.9,188,189.66,184.64,33.21M,-0.19%
3/7/2023,184.51,189,190.36,184.01,36.70M,-0.21%
3/8/2023,184.97,182.87,185.26,181.34,19.43M,0.25%
3/9/2023,181.69,186.35,188.93,180.3,26.58M,-1.77%
3/10/2023,179.51,181.01,184.77,178.8,25.67M,-1.20%
3/13/2023,180.9,177.96,183.78,174.82,24.73M,0.77%
3/14/2023,194.02,187.58,194.32,186.56,41.64M,7.25%
3/15/2023,197.75,192.95,197.78,190.84,42.12M,1.92%
3/16/2023,204.93,198.26,205.76,196.09,50.82M,3.63%
3/17/2023,195.61,200.56,201.9,195.43,50.14M,-4.55%
3/20/2023,197.81,198.48,199.36,193.64,25.19M,1.12%
3/21/2023,202.16,203.2,203.55,197.95,31.83M,2.20%
3/22/2023,199.81,202.5,207.37,199.67,28.48M,-1.16%
3/23/2023,204.28,202.84,207.88,202.15,27.39M,2.24%
3/24/2023,206.01,205.18,207.58,203.55,27.73M,0.85%
3/27/2023,202.84,204.81,205.86,201.36,18.53M,-1.54%
3/28/2023,200.68,200.15,201.03,197.9,19.13M,-1.06%
3/29/2023,205.35,203.56,205.72,202.54,18.85M,2.33%
3/30/2023,207.84,203.38,208.09,202.82,22.61M,1.21%
3/31/2023,211.94,207.24,212.17,206.77,25.44M,1.97%
4/3/2023,213.07,208.84,213.49,208.2,17.92M,0.53%
4/4/2023,214.72,213.39,216.24,212.54,21.03M,0.77%
4/5/2023,211.48,214.15,215.19,209.94,19.40M,-1.51%
4/6/2023,216.1,209.25,216.94,208.65,26.10M,2.18%
4/10/2023,214.75,214.71,215.66,210.66,16.11M,-0.62%
4/11/2023,213.85,215.48,216.02,213.41,16.71M,-0.42%
4/12/2023,214,214.84,216.84,212.58,18.97M,0.07%
4/13/2023,220.35,215.73,221.15,215.69,23.31M,2.97%
4/14/2023,221.49,217.88,222.11,217.55,21.59M,0.52%
4/17/2023,218.86,219.79,220.98,217.13,15.48M,-1.19%
4/18/2023,217.89,219.91,220.44,216.21,12.28M,-0.44%
4/19/2023,215.7,213.47,217.33,212.93,15.90M,-1.01%
4/20/2023,213.07,213.48,216.75,212.77,16.48M,-1.22%
4/21/2023,212.89,210.21,213.41,209.58,17.72M,-0.08%
4/24/2023,212.79,213.68,213.92,210.71,15.75M,-0.05%
4/25/2023,207.55,210.82,211.26,207.13,19.20M,-2.46%
4/26/2023,209.4,212.5,214.11,208.88,41.99M,0.89%
4/27/2023,238.56,239.89,241.68,236.77,71.20M,13.93%
4/28/2023,240.32,239.01,240.43,235.75,39.55M,0.74%
5/1/2023,243.18,238.62,244,236.46,29.14M,1.19%
5/2/2023,239.24,243.18,244.92,238.99,24.35M,-1.62%
5/3/2023,237.03,239.47,241.75,232.75,34.46M,-0.92%
5/4/2023,233.52,236.06,238.2,232.93,17.89M,-1.48%
5/5/2023,232.78,232.24,234.68,229.85,27.00M,-0.32%
5/8/2023,233.27,231.41,235.62,230.27,16.40M,0.21%
5/9/2023,233.37,231.46,235.88,231.08,16.87M,0.04%
5/10/2023,233.08,236.17,236.75,230.72,19.12M,-0.12%
5/11/2023,235.79,233.05,238.21,232.3,20.45M,1.16%
5/12/2023,233.81,236.74,236.96,231.45,16.16M,-0.84%
5/15/2023,238.86,236.92,240.26,235.33,20.65M,2.16%
5/16/2023,238.82,235.79,239.63,235.52,18.16M,-0.02%
5/17/2023,242.49,238.45,243.84,238.14,21.19M,1.53%
5/18/2023,246.85,241.3,247.09,241.19,22.94M,1.80%
5/19/2023,245.64,247.47,248.69,243.41,21.73M,-0.49%
5/22/2023,248.32,245.41,253.57,245.12,27.74M,1.09%
5/23/2023,246.74,246.81,251.61,246.65,17.75M,-0.64%
5/24/2023,249.21,245.28,249.59,244.95,17.72M,1.00%
5/25/2023,252.69,253.4,255.62,249.17,22.37M,1.40%
5/26/2023,262.04,252.93,262.31,252.71,25.77M,3.70%
5/30/2023,262.52,265.25,268.65,261.29,23.82M,0.18%
5/31/2023,264.72,260,265,258.45,25.47M,0.84%
6/1/2023,272.61,265.9,274,265.89,25.61M,2.98%
6/2/2023,272.61,272.66,275.35,271.12,19.42M,0.00%
6/5/2023,271.39,270.3,275.57,269.56,20.74M,-0.45%
6/6/2023,271.12,270.14,276.57,269.69,19.42M,-0.10%
6/7/2023,263.6,271.67,274.25,262.8,26.16M,-2.77%
6/8/2023,264.58,260.62,267.65,258.88,20.90M,0.37%
6/9/2023,264.95,262.48,267.95,261.7,16.95M,0.14%
6/12/2023,271.05,267.17,271.75,265.33,15.47M,2.30%
6/13/2023,271.32,274.88,275.72,269.09,16.16M,0.10%
6/14/2023,273.35,271.89,274.99,268.32,19.18M,0.75%
6/15/2023,281.83,272.3,283.99,271.42,25.97M,3.10%
6/16/2023,281,284.75,287.85,280.13,43.13M,-0.29%
6/20/2023,284.33,278.73,284.8,276.22,20.70M,1.19%
6/21/2023,281.64,283.53,284,278.36,20.56M,-0.95%
6/22/2023,284.88,279.08,285.26,277.79,17.56M,1.15%
6/23/2023,288.73,281.51,289.67,278.95,51.09M,1.35%
6/26/2023,278.47,288.7,289.79,277.6,24.23M,-3.55%
6/27/2023,287.05,282.01,289.35,280.65,26.11M,3.08%
