Date,Price,Open,High,Low,Vol.,Change %
2/6/2023,103.47,102.68,104.7,102.21,25.57M,-1.66%
2/7/2023,108.04,103.63,108.67,103.55,33.74M,4.42%
2/8/2023,100,102.69,103.58,98.46,73.55M,-7.44%
2/9/2023,95.46,100.54,100.61,93.86,97.80M,-4.54%
2/10/2023,94.86,95.74,97.02,94.53,49.33M,-0.63%
2/13/2023,95,95.01,95.35,94.05,43.12M,0.15%
2/14/2023,94.95,94.66,95.18,92.65,42.51M,-0.05%
2/15/2023,97.1,94.74,97.34,94.36,37.03M,2.26%
2/16/2023,95.78,95.54,97.88,94.97,35.64M,-1.36%
2/17/2023,94.59,95.07,95.75,93.45,31.10M,-1.24%
2/21/2023,92.05,93.24,93.41,92,28.37M,-2.69%
2/22/2023,91.8,91.93,92.36,90.87,29.89M,-0.27%
2/23/2023,91.07,92.13,92.13,90.01,32.42M,-0.80%
2/24/2023,89.35,89.63,90.13,88.86,31.30M,-1.89%
2/27/2023,90.1,90.09,90.45,89.61,22.72M,0.84%
2/28/2023,90.3,89.54,91.45,89.52,30.55M,0.22%
3/1/2023,90.51,90.16,91.2,89.85,26.32M,0.23%
3/2/2023,92.31,89.86,92.48,89.77,23.34M,1.99%
3/3/2023,94.02,92.74,94.11,92.66,30.24M,1.85%
3/6/2023,95.58,94.36,96.3,94.3,28.29M,1.66%
3/7/2023,94.17,95.42,96.09,93.84,24.10M,-1.48%
3/8/2023,94.65,94.4,96.24,94.4,25.40M,0.51%
3/9/2023,92.66,94.49,95.92,92.36,24.44M,-2.10%
3/10/2023,91.01,92.5,93.18,90.8,32.85M,-1.78%
3/13/2023,91.66,90.57,93.08,89.94,31.51M,0.71%
3/14/2023,94.25,93.07,94.83,92.78,32.30M,2.83%
3/15/2023,96.55,93.54,97.25,93.04,38.37M,2.44%
3/16/2023,101.07,96.57,101.97,95.87,54.59M,4.68%
3/17/2023,102.46,100.84,103.49,100.75,76.14M,1.38%
3/20/2023,101.93,101.06,102.58,100.79,26.03M,-0.52%
3/21/2023,105.84,101.98,105.96,101.86,33.12M,3.84%
3/22/2023,104.22,105.14,107.51,104.21,32.34M,-1.53%
3/23/2023,106.26,105.89,107.1,105.41,31.39M,1.96%
3/24/2023,106.06,105.74,106.16,104.74,25.25M,-0.19%
3/27/2023,103.06,105.32,105.4,102.63,25.39M,-2.83%
3/28/2023,101.36,103,103,100.28,24.91M,-1.65%
3/29/2023,101.9,102.72,102.82,101.03,26.15M,0.53%
3/30/2023,101.32,101.44,101.61,100.29,25.01M,-0.57%
3/31/2023,104,101.71,104.19,101.44,28.11M,2.65%
4/3/2023,104.91,102.67,104.95,102.38,20.72M,0.88%
4/4/2023,105.12,104.84,106.1,104.6,20.38M,0.20%
4/5/2023,104.95,106.12,106.54,104.1,21.86M,-0.16%
4/6/2023,108.9,105.77,109.63,104.82,34.68M,3.76%
4/10/2023,106.95,107.39,107.97,105.6,19.74M,-1.79%
4/11/2023,106.12,106.92,107.22,105.28,18.72M,-0.78%
4/12/2023,105.22,107.39,107.59,104.97,22.76M,-0.85%
4/13/2023,108.19,106.47,108.26,106.44,21.65M,2.82%
4/14/2023,109.46,107.69,109.58,107.59,20.76M,1.17%
4/17/2023,106.42,105.43,106.71,105.32,29.04M,-2.78%
4/18/2023,105.12,107,107.05,104.78,17.64M,-1.22%
4/19/2023,105.02,104.21,105.72,103.8,16.73M,-0.10%
4/20/2023,105.9,104.65,106.89,104.64,22.52M,0.84%
4/21/2023,105.91,106.09,106.64,105.49,22.38M,0.01%
4/24/2023,106.78,106.05,107.32,105.36,21.41M,0.82%
4/25/2023,104.61,106.61,107.44,104.56,31.41M,-2.03%
4/26/2023,104.45,105.56,107.02,103.27,37.07M,-0.15%
4/27/2023,108.37,105.23,109.15,104.42,38.24M,3.75%
4/28/2023,108.22,107.8,108.29,106.04,23.96M,-0.14%
5/1/2023,107.71,107.72,108.68,107.5,20.93M,-0.47%
5/2/2023,105.98,107.66,107.73,104.5,20.34M,-1.61%
5/3/2023,106.12,106.22,108.13,105.62,17.12M,0.13%
5/4/2023,105.21,106.16,106.3,104.7,19.78M,-0.86%
5/5/2023,106.21,105.32,106.44,104.74,20.71M,0.96%
5/8/2023,108.24,105.79,108.42,105.79,17.27M,1.91%
5/9/2023,107.94,108.78,110.6,107.72,24.78M,-0.28%
5/10/2023,112.28,108.55,113.51,108.48,47.53M,4.02%
5/11/2023,116.9,115.86,118.44,114.93,57.12M,4.11%
5/12/2023,117.92,117,118.26,116.55,31.29M,0.87%
5/15/2023,116.96,116.49,118.79,116.48,22.11M,-0.81%
5/16/2023,120.09,116.83,121.2,116.83,32.37M,2.68%
5/17/2023,121.48,120.18,122.28,119.46,26.66M,1.16%
5/18/2023,123.52,121.56,123.9,121.49,27.01M,1.68%
5/19/2023,123.25,124.2,126.48,122.72,30.27M,-0.22%
5/22/2023,125.87,123.51,127.05,123.45,29.76M,2.13%
5/23/2023,123.29,124.93,125.42,123.05,24.48M,-2.05%
5/24/2023,121.64,121.88,122.75,120.75,23.09M,-1.34%
5/25/2023,124.35,125.21,125.98,122.9,33.81M,2.23%
5/26/2023,125.43,124.07,126,123.29,25.17M,0.87%
5/30/2023,124.64,126.29,126.38,122.89,27.23M,-0.63%
5/31/2023,123.37,123.7,124.9,123.1,41.55M,-1.02%
6/1/2023,124.37,123.5,125.04,123.3,25.02M,0.81%
6/2/2023,125.23,124.49,126.75,124.35,19.37M,0.69%
6/5/2023,126.63,124.61,127.99,124.38,22.67M,1.12%
6/6/2023,127.91,126.6,128.88,125.97,19.45M,1.01%
6/7/2023,122.94,127.57,129.55,122.63,34.18M,-3.89%
6/8/2023,122.67,122.58,123.73,122.01,24.81M,-0.22%
6/9/2023,122.87,122.56,124.29,122.42,20.31M,0.16%
6/12/2023,124.35,123.39,124.75,122.35,22.29M,1.20%
6/13/2023,124.43,125.65,125.86,123.85,19.29M,0.06%
6/14/2023,124.38,123.8,124.79,122.16,24.66M,-0.04%
6/15/2023,125.79,123.88,126.16,123.14,24.52M,1.13%
6/16/2023,124.06,126.7,126.7,123.79,56.70M,-1.38%
6/20/2023,123.85,123.54,125.18,122.83,22.70M,-0.17%
6/21/2023,121.26,123.24,123.41,120.86,22.61M,-2.09%
6/22/2023,123.87,120.66,123.93,119.6,20.78M,2.15%
6/23/2023,123.02,122.04,123.44,121.86,29.57M,-0.69%
6/26/2023,119.09,121.47,122.72,118.99,23.18M,-3.19%
6/27/2023,119.01,117.84,119.89,116.91,27.22M,-0.07%
6/28/2023,121.08,117.96,121.27,117.6,19.75M,1.74%
6/29/2023,120.01,120.09,120.91,119.21,18.52M,-0.88%
6/30/2023,120.97,121.1,122.03,120.88,23.87M,0.80%
7/3/2023,120.56,120.32,121.02,119.71,13.89M,-0.34%
7/5/2023,122.63,120.06,123.37,120.06,17.83M,1.72%
7/6/2023,120.93,120.64,121.15,119.25,17.75M,-1.39%
7/7/2023,120.14,120.89,121.75,120.09,21.00M,-0.65%
7/10/2023,116.87,119.07,119.07,116.64,32.96M,-2.72%
7/11/2023,117.71,116.76,118.22,115.83,18.29M,0.72%
7/12/2023,119.62,119.3,120.96,119,22.06M,1.62%
7/13/2023,124.83,121.54,125.33,121.06,31.54M,4.36%
7/14/2023,125.7,125.13,127.09,124.9,20.50M,0.70%
7/17/2023,125.06,126.06,127.28,124.5,20.68M,-0.51%
7/18/2023,124.08,124.9,124.99,123.3,21.07M,-0.78%
7/19/2023,122.78,124.79,125.47,122.47,22.31M,-1.05%
7/20/2023,119.53,122.12,124.7,118.68,27.54M,-2.65%
7/21/2023,120.31,120.87,121.3,119.07,56.51M,0.65%
7/24/2023,121.88,121.93,123.35,121.38,22.31M,1.30%
7/25/2023,122.79,121.88,123.69,121.53,31.82M,0.75%
7/26/2023,129.66,130.36,131.37,128.71,46.22M,5.59%
7/27/2023,129.87,131.8,133.6,129.18,35.93M,0.16%
7/28/2023,133.01,130.97,134.07,130.92,26.97M,2.42%
7/31/2023,133.11,133.01,133.83,132.13,18.38M,0.08%
8/1/2023,131.89,130.85,132.92,130.75,22.22M,-0.92%
8/2/2023,128.64,129.84,130.42,127.85,22.71M,-2.46%
8/3/2023,128.77,128.37,129.77,127.78,15.09M,0.10%
8/4/2023,128.54,129.6,131.93,128.32,20.52M,-0.18%
8/7/2023,131.94,129.51,132.06,129.43,17.62M,2.65%
8/8/2023,131.84,130.98,131.94,130.13,16.84M,-0.08%
8/9/2023,130.15,132.19,132.47,129.51,17.75M,-1.28%
8/10/2023,130.21,131.97,132.65,130.04,17.86M,0.05%
8/11/2023,130.17,129.2,130.44,128.75,15.21M,-0.03%
8/14/2023,131.83,129.85,131.91,129.59,17.53M,1.28%
8/15/2023,130.27,131.59,131.99,129.82,14.77M,-1.18%
8/16/2023,129.11,129.28,130.9,128.46,17.55M,-0.89%
8/17/2023,130.46,130.45,132.49,129.85,23.67M,1.05%
8/18/2023,128.11,129.06,129.83,127,23.63M,-1.80%
8/21/2023,128.93,127.85,129.26,127.16,21.85M,0.64%
8/22/2023,129.69,129.13,130.95,128.93,15.57M,0.59%
8/23/2023,133.21,130.85,134.07,130.51,26.50M,2.71%
8/24/2023,130.42,134.73,134.97,130.3,18.68M,-2.09%
8/25/2023,130.69,130.14,131.4,128.04,20.68M,0.21%
8/28/2023,131.79,132.08,133.24,130.85,16.72M,0.84%
8/29/2023,135.49,133,137.29,132.98,30.80M,2.81%
8/30/2023,136.93,135.57,137.25,135.02,21.77M,1.06%
8/31/2023,137.35,137.05,138.4,136.82,28.15M,0.31%
9/1/2023,136.8,138.43,138.58,135.94,16.67M,-0.40%
9/5/2023,136.71,136.44,137.37,135.56,17.73M,-0.07%
9/6/2023,135.37,137.01,137.48,134.69,15.81M,-0.98%
9/7/2023,136.2,134.6,136.58,133.96,16.98M,0.61%
